title,description,referenceIdentifier,rights,subjectCategory,url
2010 서울국제공연예술제 - 칼로막베스(Killbeth),"[추가할인내역]

마방진관극회원 30%
가을애카드 20%
				
<font color=""red"">※ 자세한 공연정보 및 할인정보는 SAC Ticket 사이트를 참고하시기 바랍니다. </font>

[<a href=""http://www.spaf.or.kr/2010/program/prgm_view.php?art_no=14"" target=""_blank""><u>'칼로막베스' 홈페이지 바로가기</u></a>]

[<a href=""http://www.spaf.or.kr"" target=""_blank""><u>'2010 서울국제공연예술제' 홈페이지 바로가기</u></a>]",http://www.sacticket.co.kr/webhome/upload/prog_15686_1.jpg,서울국제공연예술제,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=15686&s_date=20101027
2011 한일공동제작연극 `야끼니꾸 드래곤`,"[<a href=""http://www.sac.or.kr/bannerPage.jsp?htmlURL=/lab2011/yakiniku/index.html""><u>2011 한일공동제작연극 '야끼니꾸 드래곤' 홈페이지 바로가기</u></a>]
			
<b>1.19(수) 예술의전당 회원티켓오픈!!
      1.21(금) 일반티켓 오픈!</b>",http://www.sacticket.co.kr/webhome/upload/prog_16017_1.jpg,예술의전당,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=16017&s_date=20110309
2011 한일공동제작연극 `야끼니꾸 드래곤`, ,http://www.sacticket.co.kr/webhome/upload/prog_16018_1.jpg,예술의전당,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=16018&s_date=20110301
2011 예술의전당 명품연극 `나는 너다`,"[<a href=""http://www.sac.or.kr/lab2011/im_you/"" target=""_blank""><u>2011 예술의전당 명품연극 '나는 너다' 홈페이지 바로가기</u></a>]

	장부가 세상에 처함이여, 그 뜻이 크도다
영웅의 아들도 영웅이어야 하는가

아버지 안중근 때문에 평생 일본인의 압박 속에서 비참하게 살아야 했던 안준생이 아버지를 원망하며 부르짖는다. “나라가 망했으면 망한 대로 살면 되고 나쁜 놈 나서서 설치면 구경하면 되는 거지, 왜 집안을 망치고 자식을 망칩니까? 대체 당신은 누구십니까?” 아버지는 대답합니다. “나는 너다. 바로 너다...” 연극 <나는 너다>는 아버지는 국가가 추앙하는 애국 영웅이지만 아들은 친일파로 몰려 역사로부터 배척받은 인물로 호랑이 같은 아비에 개 같은 아들, 즉 주홍글씨처럼 새겨진 ‘호부견자(虎父犬子)’의 비극을 그리고 있습니다. 안중근의 영웅 서사와 광야를 떠도는 영웅의 아들 안준생의 비참한 삶이 오버랩되며 화해를 위한 과거와 현재의 끊임없는 대화가 시작됩니다. 사실적인 영상을 투사한 접이식 무대를 퍼즐처럼 조작해 광대한 만주벌판과 하얼빈 시가지, 여순 감옥의 사형장 등 역사의 상징물들을 만들어내는 무대 메커니즘은 머나먼 역사속으로 우리들을 귀환시킵니다. 역사속에서 영웅과 인간에 대한 정직한 애정을 들춰낸 명장 윤석화의 연출과 2010년 대한민국연극대상 무대미술상에 빛나는 무대, 배우들의 열연이 황금비율을 이룬 2011년 예술의전당 명품연극 <나는 너다>를 통해 우리들이 기억해야할 진정한 영웅, 안중근의 이미지를 또렷하게 바라볼 수 있을 것입니다. 

1909년 10월 26일,
하얼빈 역에 여섯 발의 총성이 울린지 벌써 100년이 흘렀다...

시간과 장소도 알 수 없는 어느 막막한 공간. 한 남자가 이곳을 떠돌며 헤매고 있다. 바로 이토 히로부미를 저격한 안중근의 둘째 아들 안준생이다. 사람들은 그가 이토 히로부미의 아들에게 굴욕적으로 절을 했다는 이유로 친일파, 변절자라 욕하고, 그 아버지의 이름에 먹칠을 했다고 몰아세운다. 무대가 바뀌고 안중근이 대한의군 참모중장으로서 대한의군들을 이끌고 훈련 중인 모습이 그려진다. 이윽고 그들은 나라와 민족이 위급한 상황에서 남의 도움을 기다리지 않고 스스로 목숨을 바쳐 나라를 구하리라 결심하고, 손가락을 잘라 이를 맹세한다. 
1909년 10월 26일, 안중근은 이토 히로부미를 저격한 뒤 바로 체포되고, 그의 가족 역시 혹독한 심문을 받는다. 재판 중인 아들에게 어머니 조 마리아는 구차하게 목숨을 구걸하지 말라며 항소하지 않을 것을 권유하고, 안중근은 이에 따라 항소하지 않은 채 의연하게 교수대에 오른다. 다시 처음과 같은 공간, 안준생은 자신의 의지와 상관없이 이런 비참한 상황으로 자신을 몰아넣은 아버지 안중근을 원망하고 절규한다. 그때 아들에게 답하는 안중근의 목소리가 들리고, 준생은 그 깊은 뜻을 알게 된 뒤 아버지를 찾으며 울부짖는다.",http://www.sacticket.co.kr/webhome/upload/prog_16023_1.jpg,"예술의전당, 월간객석",연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=16023&s_date=20110517
2011 예술의전당 명품연극 `나는 너다`, ,http://www.sacticket.co.kr/webhome/upload/prog_16024_1.jpg, ,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=16024&s_date=20110510
여우야 뭐하니? 동산에 꽃피면 나하고 놀자,"고목나무 할머니와 달님만을 침구 삼아 놀던 동산의 여우는 우연히 순희가 노는 모습을 숨어서 보게 되고,함께 놀고싶어한다.
 이 마음을 안 고목나무는 여우를 사내 아이의 모습을로 만들어 준다. 아이들과 어울려 신나게 놀던 사내아이는, 순희와의 사이를 시샘한 석필이의 방해로 아이들에게 여우의 모습을 들키게 되고, 이에 낙담하여 자신감을 잃은 채 할머니와 달님 곁으로 돌아와 동산에 꽃을 가꾸며 아이들과의 즐거웠던 한 때를 그리워 한다. 한편 순이는 여우에 대한 그리움으로 아이들을 이끌고 동산을 오르게 되고 아이들은 달빛을 통해 꽃마다 새겨진 자신들의 이름을 보게 되는데....
 
[<a href=""http://www.sac.or.kr/lab2002/fox/fox_index.html"" target=""_blank"">상세정보</a>]",http://www.sacticket.co.kr/webhome/upload/ ,극단 성씨어터라인,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=6100&s_date=20020104
로미오와 줄리엣,"-만약 로미오와 줄리엣이 한국 사람이었다면??? 
우리 호흡으로 노래하는 로미오와 줄리엣
3,4조 4,4조의 운율을 타고 넘는 감칠맛 나는 우리 구어체, 마치 마당놀이를 보는 듯이 관객은 연극에 빠져들며 관람하게 될 것이다. 
   
-한국 젊은 관객들이 열관...연일 객석 가득...
연극 속에 또 다른 재미가 숨어있는 독특한 연출로 자유로움과 즉흥성이  훨씬 배가된 공연에서 우리 관객에게 아낌없는 찬사를 받음
        
-동.서양의 만남으로 ""로미오와 줄리엣""은 이제 우.리.것.이 된다!!!
우리만의 구성진 대사들로 풀어지는 이 공연에 관객들은 그 속에 빠져들고 함께 호흡하게 될 것이다.",http://www.sacticket.co.kr/webhome/upload/ ,진우예술기획,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=6105&s_date=20020329
"겨울방학 우수어린이연극 ""강아지똥""","[<a href=""http://www.sac.or.kr/lab2002/dog/dog01.html"" target=""_blank"">상세정보</a>]",http://www.sacticket.co.kr/webhome/upload/ ,예술의전당,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=6109&s_date=20020104
극단 작은 신화 <암흑 전설 영웅전>,"최고의 전략시뮬레이션 게임<암흑전설 영웅전>
1.게임보다 재미있는 게임 연극!
광활한 대지를 누비며 전쟁을 치로고 국가를 건설하는 게임속 주인공이 되어 시간의 굴레를 초월해 펼치는 모험과 로맨스.더 이상 고리타분한 연극은 없다.

2. 게임을 알면 연극이 보인다!!
-디아블로를 연상케 하는 캐릭터,스타크래프트의 업그레이드 시스템, 동급생의 로맨스,리니지의 모험세계,에이지오브엠파이어의 전쟁씬까지, 롤플레잉과 전략시뮬레이션 게임의 모든 요소들이 이 한편의 연극에 녹아있다.

3. 삼성문학상,연극부문 수상작,작품으로도 인정받았다.
-이 작품은 단지 게임을 소재호 한 ""흥미"" 위주의 공연만은 아니다.세익스피어를 존경하던 작가지망생""나""
소극적인 주인공이 적극적이고 능동적인 게임매니아를 거쳐 나폴레옹을 따르는 무소불위의 폭력적 조종자로 변해가는 모습은 사이버세계에 경고성 메세지를 전달한다. 공상과 백일몽으로 자신만의 세계에 빠져들어 현실세계와 단절되고,나아가 가상과 현실의 경계를 모호하게 만드는 사이버세계의 해악에 대한 경고인 것이다.

4. 사이버세계와 함께하는 ""희망""의 공간을 찾아서
-'암흑전설 영웅전'이 단지 가상세계에 대한 경고만을담고 있는것은 아니다. 작품 속의 주요 캐릭터인 ""무희""는 사이버세계의 긍정적 가능성이다.우리를 빨려들게하는 매력적인 사이버 세계를 상징한다고 볼수 있는 무희라는 인물은 우리 스스로의 선택과 의지에 따라 희망도 되고 절망도 될 수 있다. 이제 인간의 곁을 떠날 수 없는 사이버세계의 존재를 '희망""의 모습으로 바꾸어 놓는 일. 그것이 지금 이시대 인간이해야 할 중요한 임무 중 하나인 것이다.

5. 사이버세계를 다루는 첫 작품. 게임보다 광활한 무대
-무대위에 가상의 게임속 공간을 그대로 옮겨놓는 일이 연출자의 가장 큰 과제이고, 관객들에게는 훌륭한 볼거리가 될 것이다. 다양한 컴퓨터 테크놀로지 사용과 사이버공간과 현실무대 공간을 혼용하는 무대표현을 통하여""오프""라인이 아닌 ""살아있는"" 게임세계를 체험 할 것이다.",http://www.sacticket.co.kr/webhome/upload/ ,극단 작은신화,연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=6112&s_date=20020309
한일 공동연극제 「강 건너 저편에」,"ㅇ주요 스탭 
  - 작   : 김명화, 히라타 오리자 (공동 창작)
  - 연출 : 이병훈, 히라타 오리자 (공동 연출)

ㅇ주요 출연자
  - (한국 출연진) 백성희, 이남희, 서현철, 우현주, 김태희
  - (일본 출연진) 미타 카즈요, 사토 치카오, 야스토, 타니가와 키요미, 시마다, 카니에 잇페이

ㅇ 작품 내용

2002년 봄, 서울 한강의 고수부지. 한국어학당의 교수 김문호는 장남이지만 아직 독신이다. 소설가가 되기 위한 꿈을 가지고 있다. 오늘은 학생들과 자기 가족들과 함께 소풍을 나왔다. 동생인 김재호는 분주한 샐러리맨의 생활에 지쳐 캐나다로 이민을 계획하고 있지만, 어머니가 반대하실 것을 걱정하여 이야기를 하지 못하고 있으나, 소풍나온 김에 말을 꺼내려고 한다. 
함께 모인 학생들은 나이와 직업이 각양각색인 사람들이 모여있다. 남편의 전근으로 서울에 한국으로 따라온 주부, 일본학교에 적응하지 못해 한국으로 건너온 학생, 대기업의 샐러리맨, 수영올림픽을 위해 한국에 건너온 재일한국인과 그의 애인, 세계 이곳저곳을 여행하고 있는 <후리다>, 이렇게 다양한 맴버가 모여 소풍을 하게 된 것이다. 소풍 도중에 신혼여행을 온 일본인 신혼부부도 합류한다.
언어가 서로다른 상황에서도 뭔가가 서로 커뮤니케이션이 이루어지게 되는 모습들.
한국과 일본의 역사적 관계, 핵가족화에 따른 가족갈등, 일본의 현재상, 외국인과의 결혼문제, 국가관, 관습의 차이, 민족을 초월하여 공감대를 이룬 인간사들이 이야기 된다. 
서울의 사람들이 모여있는 강가의 풍경에 도취한 채, 모이고 떠나는 사람들과의 대화 속에서 ""한국과 일본의 현재""의 단편이 실감나게 묘사된다.
 
[<a href=""http://www.sac.or.kr/lab2002/river/index.html"" target=""_blank"">상세정보</a>]",http://www.sacticket.co.kr/webhome/upload/ ,"예술의전당, 일본 신국립극장",연극,http://www.sac.or.kr/program/schedule/view.jsp?seq=6917&s_date=20020628
